Term	Abbreviation	Description	Comment	SemanticURI	URI	Root Term	Master Term	ID Terminology	ID Category	IDTermStatus
Abundance per Length/Frequency			 Unit example: n/m| Dimension: L-1.Z			0		13	3	3
Individual Density			 Unit example: n/m2| Dimension: L-2.Z			0		13	3	3
Abundance per Volume			 Unit example: n/m3| Dimension: L-3.Z			0		13	3	3
Abundance per Mass			 Unit example: n/g| Dimension: M-1.Z			0		13	3	3
Abundance or Count			 Unit example: n| Dimension: Z			0		13	3	3
Accumulation Rate/Flux			 Unit example: n/m2/s| Dimension: L-2.Z.T-1			0		13	3	3
Mass Accumulation Rate/Flux			 Unit example: g/m2/s| Dimension: M.L-2.T-1			0		13	3	3
Accumulation Rate			 Unit example: n/g/s| Dimension: M-1.Z.T-1			0		13	3	3
Molar Flux			 Unit example: mol/m2/s| Dimension: L-2.N.T-1			0		13	3	3
Molar Concentration			 Unit example: mol/m3| Dimension: L-3.N			0		13	3	3
Reaction Rate			 Unit example: mol/m3/s| Dimension: L-3.N.T-1			0		13	3	3
Specific Activity			 Unit example: mol/g/s| Dimension: M-1.N.T-1			0		13	3	3
Molar Fraction Gradient			 Unit example: mol/m| Dimension: L-1.N			0		13	3	3
Frequency			 Unit example: n/s| Dimension: Z.T-1			0		13	3	3
Fraction			 Unit example: %/n| Dimension: Z-1			0		13	3	3
Specific Electrical Resistance			 Unit example: Ohm.m| Dimension: I-2.M.L3.T-1			0		13	3	3
Time per Length			 Unit example: s/m| Dimension: L-1.T			0		13	3	3
Pressure Gradient			 Unit example: Pa/m|			0		13	3	3
Transit Time			 Unit example: us/[ft_i]|			0		13	3	3
Absorption Coefficient			 Unit example: 1/m| Dimension: L-1			0		13	3	3
Concentration			 Unit example: 1/m3| Dimension: L-3			0		13	3	3
Specific Volume			 Unit example: g-1.m3| Dimension: M-1.L3			0		13	3	3
