Å,Ao
µtorr,u[Torr]
µg-at,n{molecule}
µ,u
±,{StandardDeviation}
°C,Cel
°,deg
yr,a
years,a
year,a
yd^2,[syd_i]
yd3/min,[cyd_i]/min
yd3,[cyd_i]
yd2,[syd_i]
yd,[yd_i]
y,a
x10^8,10*8
x10^6/spec,10*6/{Specimen}
x10^6,10*6
x10^5,10*5
x10^3 RBCs,10*3.{RBC}
x10^3,10*3
weeks,wk
week,wk
vol,{v}
utorr,m[Torr]
umol/mol Cre,umol/mol{Cre}
umol/mg Cre,umol/mg{Cre}
umol/g Hgb,umol/g{Hgb}
umol/g Cre,umol/g{Cre}
uiu,u[iU]
ug/mg Cre,ug/mg{Cre}
ug/m^2,ug/m2
ug/hr,ug/h
ug/g Hgb,ug/g{Hgb}
ug/g Dry Weight,ug/g{DryWeight}
ug/g Cre,ug/g{Cre}
ug/dL RBCs,ug/dL{rbc}
ug/Total Volume,ug/{TotalVolume}
ug/Spec,ug/{Specimen}
ug/100 g,ug/(100.g)
ug/(kg.hr),ug/(kg.h)
ug/(8.hr.kg),ug/(8.h.kg)
ueg/L,ueq/L
uIU/mL,u[iU]/mL
uIU,u[iU]
tsp,[tsp_us]
tr oz,[oz_tr]
torr,[Torr]
ton/yd3,t/[cyd_i]
ton/yd,t/[yd_i]
ton/hr,[ston_av]/h
ton,t
time,a
tenths,10*-1
tbsp,[tbs_us]
tablet,{tablet}
sie,S
seconds,s
second,s
sec,s
sec,''
ru,[arb'U]
rmcd,m{rmcd}
rem,REM
rd,[rd_us]
quanta,{quanta}
qt,[qt_us]
pt,[pt_us]
psi,[psi]
protein,{protein}
pptv,[pptr]{v}
ppt,[pptr]
ppmv,[ppm]{v}
ppm,[ppm]
ppbv,[ppb]{v}
polyp,{polyp}
pk,[pk_us]
pixel,n{pixel}
pi,[pt_br]
photons,{photons}
phi,[phi]
pal,Pa
pa,pA
pMC,[pMC]
pH,[pH]
ozm,[oz_av]
oz,[oz_av]
osmol/kg,osm/kg
osmol/L,osm/L
osmol,osm
ohm,Ohm 
oersted,Oe
octa,[octa]
nmol/mmol Cre,nmol/mmol{Cre}
nmol/g Cre,nmol/g{Cre}
nmi/min,[nmi_i]/min
nmi/hr,[nmi_i]/h
ng/mg Prot,ng/mg{Protein}
ng/m^2,ng/m2
ng/mL RBCs,ng/mL{rbc}
ng/hr,ng/h
ng/g Cre,ng/g{Cre}
ng/(kg.hr),ng/(kg.h)
ng/(8.hr.kg),ng/(8.h.kg)
ng/(8.hr),ng/(8.h)
n-alkanes,{n-alkanes}
n mile,[nmi_i]
months,mo
month,mo
molec,n{molecule}
mol/m^3,mol/m3
mmol/mol Cre,mmol/mol{Cre}
mmol/m^2,mmol/m2
mmol/hr,mmol/h
mmol/Total Volume,mmol/{TotalVolume}
mmol/(kg.hr),mmol/(kg.h)
mmol/(8hr),mmol/(8.h)
mmol/(8.hr.kg),mmol/(8.h.kg)
mm^2,mm2
mmHg,mm[Hg]
mm/hr,mm/h
mm(hg),mm[Hg]
mm Hg,mm[Hg]
miu/mL,m[iU]/mL
milliH,mH
mil,[mi_us]
microsec,us
microH,uH
microF, uF
mi/min,[mi_i]/min
mi,[mi_i]
mg/mg Cre,mg/mg{Cre}
mg/m^3,mg/m3
mg/m^2,mg/m2
mg/hr,mg/h
mg/g Cre,mg/g{Cre}
mg/Volume,mg/{Volume}
mg/Total Volume,mg/{TotalVolume}
mg/(kg.hr),mg/(kg.h)
mg/(8.hr.kg),mg/(8.h.kg)
mg/(8.hr),mg/(8.h)
