Å,Ao,pangaea
µtorr,u[Torr],pangaea
µg-at,n{molecule},pangaea
µ,u,pangaea
±,{StandardDeviation},pangaea
°C,Cel,pangaea
°,deg,pangaea
yr,a,fhir
years,a,pangaea
year,a,pangaea
yd^2,[syd_i],fhir
yd3/min,[cyd_i]/min,pangaea
yd3,[cyd_i],pangaea
yd2,[syd_i],pangaea
yd,[yd_i],fhir
y,a,pangaea
x10^8,10*8,fhir
x10^6/spec,10*6/{Specimen},fhir
x10^6,10*6,fhir
x10^5,10*5,fhir
x10^3 RBCs,10*3.{RBC},fhir
x10^3,10*3,fhir
weeks,wk,pangaea
week,wk,pangaea
vol,{v},pangaea
utorr,m[Torr],pangaea
umol/mol Cre,umol/mol{Cre},fhir
umol/mg Cre,umol/mg{Cre},fhir
umol/g Hgb,umol/g{Hgb},fhir
umol/g Cre,umol/g{Cre},fhir
uiu,u[iU],hl7
ug/mg Cre,ug/mg{Cre},fhir
ug/m^2,ug/m2,fhir
ug/hr,ug/h,hl7
ug/g Hgb,ug/g{Hgb},fhir
ug/g Dry Weight,ug/g{DryWeight},fhir
ug/g Cre,ug/g{Cre},fhir
ug/dL RBCs,ug/dL{rbc},fhir
ug/Total Volume,ug/{TotalVolume},fhir
ug/Spec,ug/{Specimen},fhir
ug/100 g,ug/(100.g),fhir
ug/(kg.hr),ug/(kg.h),hl7
ug/(8.hr.kg),ug/(8.h.kg),hl7
ueg/L,ueq/L,fhir
uIU/mL,u[iU]/mL,fhir
uIU,u[iU],fhir
tsp,[tsp_us],pangaea
tr oz,[oz_tr],fhir
torr,[Torr],pangaea
ton/yd3,t/[cyd_i],pangaea
ton/yd,t/[yd_i],pangaea
ton/hr,[ston_av]/h,pangaea
ton,t,pangaea
time,a,pangaea
tenths,10*-1,pangaea
tbsp,[tbs_us],pangaea
tablet,{tablet},pangaea
sie,S,hl7
seconds,s,pangaea
second,s,pangaea
sec,s,fhir
ru,[arb'U],pangaea
rmcd,m{rmcd},pangaea
rem,REM,pangaea
rd,[rd_us],pangaea
quanta,{quanta},pangaea
qt,[qt_us],fhir
pt,[pt_us],fhir
psi,[psi],pangaea
protein,{protein},pangaea
pptv,[pptr]{v},pangaea
ppt,[pptr],pangaea
ppmv,[ppm]{v},pangaea
ppm,[ppm],pangaea
ppbv,[ppb]{v},pangaea
polyp,{polyp},pangaea
pk,[pk_us],pangaea
pixel,n{pixel},pangaea
pi,[pt_br],pangaea
photons,{photons},pangaea
phi,[phi],pangaea
pal,Pa,hl7
pa,pA,hl7
pMC,[pMC],pangaea
pH,[pH],fhir
ozm,[oz_av],pangaea
oz,[oz_av],fhir
osmol/kg,osm/kg,hl7
osmol/L,osm/L,hl7
osmol,osm,hl7
ohm,Ohm ,pangaea
oersted,Oe,pangaea
octa,[octa],pangaea
nmol/mmol Cre,nmol/mmol{Cre},fhir
nmol/g Cre,nmol/g{Cre},fhir
nmi/min,[nmi_i]/min,pangaea
nmi/hr,[nmi_i]/h,pangaea
ng/mg Prot,ng/mg{Protein},fhir
ng/m^2,ng/m2,fhir
ng/mL RBCs,ng/mL{rbc},fhir
ng/hr,ng/h,hl7
ng/g Cre,ng/g{Cre},fhir
ng/(kg.hr),ng/(kg.h),hl7
ng/(8.hr.kg),ng/(8.h.kg),hl7
ng/(8.hr),ng/(8.h),hl7
n-alkanes,{n-alkanes},pangaea
n mile,[nmi_i],fhir
months,mo,pangaea
month,mo,pangaea
molec,n{molecule},pangaea
mol/m^3,mol/m3,fhir
mmol/mol Cre,mmol/mol{Cre},fhir
