unit,ucum
#,n
(K2)m/W,m2.K/W
(\\(eq\\)),{eq}
(eq),{eq}
AD,{AD}
API,[API]
API units,[API]
Absorbance unit,[AU]
BP,{BP}
BPM,{beats}/min
Bf,[bf_i]
Btu,[Btu]
Byte,By
Bytes,By
CFU,[CFU]
Cal,cal
Chilean Pesos,{CLP}
Chl a,{chlorophyll_a}
DU,[DU]
DegC,Cel
EU,[ETU]
FMS,{FMS}
FTU,{FTU}
Gi,Gb
H2O,{H2O}
HC,{hydrocarbon}
HP,[HP]
KHz,kHz
KPa,kPa
MT,{MT}
Nm/ct,[car_m]
ac,[acr_us]
ambsf,m{ambsf}
amcd,m{amcd}
arbitrary light units,[arb'U]
arbitrary units,[arb'U]
arcMin,'
arcSec,''
armcd,m{armcd}
atm,{atmosphere}
atoms,n{atoms}
b2k,{b2k}
bbl,[bbl_us]
bp,[bp]
bpm,{beat}/min
bps,bit/s
breaths/min,{breaths}/min
btu,[Btu]
bu,[bu_us]
ch,[ch_us]
cmil,[cml_i]
code,{code}
count/min,[cpm]
counts/min,[cpm]
cpm,[cpm]
cps,[cps]
crmcd,m{crmcd}
cts,n{photon}
cup,[cup_us]
d2Theta,deg
day,d
days,d
degC,Cel
degF,[degF]
degR,[degR]
dpm,[dpm]
dry weight %,%{drymass}
dry_gal,[gal_us]{dry}
dry_pt,[pt_us]{dry}
dry_qt,[qt_us]{dry}
dwt,[pwt_tr]
electron,{electron}
electrons,{electron}
emu,[emu]
fath,[fth_i]
feet,[ft_i]
female,n{female}
field,{field}
fps,{frames}/s
ft2,[sft_i]
ft3,[cft_i]
fur,[fur_us]
gAPI,[API]
gal/min,[gal_us]/min
grad,gon
hour,h
hours,h
hp/H2O,[HP]{water}
hp/V,[HP]{electric}
hp/m,[HP]{metric}
hr,h
in2,[sin_i]
in3,[cin_i]
in3/min,[cin_i]/min
inAq,[in_i'H2O]
inHg,[in_i'Hg]
inch,[in_i]
ions,{ions}
kbps,kbit/s 
kcal/(gm.degC),kcal/(g.Cel)
kcal/gm,kcal/g
lb/min,[lb_av]/min
lbf,[lbf_av]
lbm,[lb_av]
lbm/m3,[lb_av]/m3
lux,lx
ly, [ly]
mbps,Mbit/s
mg CO2,mg{CO2}
mi/min,[mi_i]/min
microF, uF
microH,uH
microsec,us
mil,[mi_us]
milliH,mH
mmHg,mm[Hg]
molec,n{molecule}
month,mo
months,mo
n-alkanes,{n-alkanes}
nmi/hr,[nmi_i]/h
nmi/min,[nmi_i]/min
octa,[octa]
oersted,Oe
ohm,Ohm 
ozm,[oz_av]
pMC,[pMC]
phi,[phi]
photons,{photons}
pi,[pt_br]
pixel,n{pixel}
pk,[pk_us]
polyp,{polyp}
ppbv,[ppb]{v}
ppm,[ppm]
ppmv,[ppm]{v}
ppt,[pptr]
pptv,[pptr]{v}
protein,{protein}
psi,[psi]
quanta,{quanta}
rd,[rd_us]
rem,REM
rmcd,m{rmcd}
ru,[arb'U]
second,s
seconds,s
tablet,{tablet}
tbsp,[tbs_us]
tenths,10*-1
time,a
ton,t
ton/hr,[ston_av]/h
ton/yd,t/[yd_i]
ton/yd3,t/[cyd_i]
torr,[Torr]
tsp,[tsp_us]
utorr,m[Torr]
vol,{v}
week,wk
weeks,wk
y,a
yd2,[syd_i]
yd3,[cyd_i]
yd3/min,[cyd_i]/min
year,a
years,a
°,deg
°C,Cel
±,{StandardDeviation}
µ,u
µg-at,n{molecule}
µtorr,u[Torr]
Å,Ao
